Country,Median Monthly Disposable Income
Albania,302.37
Angola,2365.15
Argentina,719.06
Armenia,224.76
Australia,2927.91
Austria,1800
Azerbaijan,381.95
Bahrain,847.08
Bangladesh,269.41
Belarus,299.68
Belgium,2000
Bolivia,372.73
Bosnia And Herzegovina,414.78
Botswana,563.59
Brazil,525.39
Bulgaria,355.5
Cambodia,157.33
Canada,2210.03
Chile,749.2
China,488.44
Colombia,299.68
Costa Rica,557.35
Croatia,670.11
Cyprus,1150
Czech Republic,776.8
Denmark,2412.88
Dominican Republic,630.94
Ecuador,224.76
Egypt,214.23
El Salvador,215.4
Estonia,648.5
Ethiopia,142.35
Finland,2080
France,2000
Georgia,248.66
Germany,2000
Ghana,262.22
Greece,750
Guatemala,421.42
Honduras,374.6
Hong Kong,1930.55
Hungary,481.44
Iceland,1555.68
India,325.54
Indonesia,227.61
Iran,397.53
Iraq,374.6
Ireland,2000
Israel,1404.13
Italy,1600
Jamaica,855.32
Japan,2115.24
Jordan,475.98
Kazakhstan,494.91
Kenya,437.46
Kuwait,1605.54
Kyrgyzstan,299.68
Latvia,498.04
Lebanon,749.2
Libya,444.65
Lithuania,513.76
Luxembourg,3250
Macao,1158.33
Macedonia,280
Malaysia,721.43
Malta,1200
Mauritius,374.6
Mexico,589.25
Moldova,211.78
Mongolia,374.6
Montenegro,475
Morocco,298
Myanmar,222.3
Namibia,600.8
Nepal,132
Netherlands,2000
New Zealand,1958.95
Nicaragua,494.47
Nigeria,498.93
Norway,3276.08
Oman,1605.85
Pakistan,187.3
Palestinian Territory,520.21
Panama,511.7
Peru,412.38
Philippines,224.76
Poland,589.03
Portugal,800
Puerto Rico,1378.53
Qatar,3086.09
Romania,336.72
Russia,541.77
Saudi Arabia,1398.39
Serbia,350
Singapore,1975.2
Slovakia,695
Slovenia,930
South Africa,1127.18
South Korea,1461.85
Spain,1200
Sri Lanka,276.83
Sudan,262.22
Sweden,2327.72
Switzerland,4310.42
Syria,187.3
Taiwan,984.98
Thailand,367.68
Tunisia,265
Turkey,616.32
Ukraine,299.68
United Arab Emirates,2378
United Kingdom,1882.41
United States,2397.44
Uruguay,679.44
Uzbekistan,207.37
Venezuela,509.11
Vietnam,214.31
Zimbabwe,374.6
